source_index,thread_id,reply_number,reviewer,date,comment_text,highlighted_text,context,char_position,raw_workbook_rows,source_cell,legacy_topic_ids,concern,required_action,paper_section,status
27,6a33fef334ed05fee4df6848,0,jason.blocklove,"18 June, 7:21 am","I appreciate you trying to make the figure physically smaller, but now the text is a bit too small. It's fine for it to be a 2-column figure, there's just a lot of whitespace in the figure itself that should be compressed.","\begin{figure}[t]
\centering
\includegraphics[width=\linewidth]{mxfp4_gdn_datapath_paper_fit.png}
\caption{Overview of the proposed native MXFP4 persistent-state Gated DeltaNet decode datapath. Token inputs are packed into MXFP4 blocks, the recurrent state remains resident in on-chip BRAM/URAM, and native E2M1 LUT multiplication with block-scale alignment and fixed-point accumulation is reused across prediction, state update, and output generation.}
\label{fig:mxfp4_gdn_datapath}
\end{figure}","\begin{figure}[t]
\centering
\includegraphics[width=\linewidth]{mxfp4_gdn_datapath_paper_fit.png}
\caption{Overview of the proposed native MXFP4 persistent-state Gated DeltaNet decode datapath. Token inputs are packed into MXFP4 blocks, the recurrent state remains resident in on-chip BRAM/URAM, and native E2M1 LUT multiplication with block-scale alignment and fixed-point accumulation is reused across prediction, state update, and output generation.}
\label{fig:mxfp4_gdn_datapath}
\end{figure}",13859,30;80,Comments!E30,Legacy-29,"I appreciate you trying to make the figure physically smaller, but now the text is a bit too small. It's fine for it to be a 2-column figure, there's just a lot of whitespace in the figure itself that should be compressed. [highlighted: ""\begin{figure}[t]
\centering
\includegraphics[width=\linewidth]{mxfp4_gdn_datapath_paper_fit.png}
\caption{Overview of the proposed native MXFP4 persistent-state Gated DeltaNet decode datapath. Token inputs are packed into MXFP4 blocks, the recurrent state remains resident in on-chip BRAM/URAM, and native E2M1 LUT multiplication with block-scale alignment and fixed-point accumulation is reused across prediction, state update, and output generation.}
\label{fig:mxfp4_gdn_datapath}
\end{figure}""]",Redesign and visually inspect a legible two-column datapath figure.,Architecture,NOT_RUN
28,6a33ff3a537013d3d71a349a,0,jason.blocklove,"18 June, 7:22 am",But why? Why is it architected this way? What benefit does this datapath provide? Did you consider alternative architectures?,"Figure~\ref{fig:mxfp4_gdn_datapath} summarizes the proposed native MXFP4 persistent-state Gated DeltaNet decode datapath. The upper portion shows the token-level recurrent-state path, while the lower portion isolates the native MXFP4 arithmetic reused during prediction, state update, and output generation.","\section{Hardware Architecture}
Figure~\ref{fig:mxfp4_gdn_datapath} summarizes the proposed native MXFP4 persistent-state Gated DeltaNet decode datapath. The upper portion shows the token-level recurrent-state path, while the lower portion isolates the native MXFP4 arithmetic reused during prediction, state update, and output generation.",13550,31;81,Comments!E31,Legacy-30,"But why? Why is it architected this way? What benefit does this datapath provide? Did you consider alternative architectures? [highlighted: ""Figure~\ref{fig:mxfp4_gdn_datapath} summarizes the proposed native MXFP4 persistent-state Gated DeltaNet decode datapath. The upper portion shows the token-level recurrent-state path, while the lower portion isolates the native MXFP4 arithmetic reused during prediction, state update, and output generation.""]",Explain the matched persistent-state baseline and native arithmetic objective.,Architecture,NOT_RUN
29,6a33ff6b537013d3d71a34b1,0,jason.blocklove,"18 June, 7:23 am",What do these papers tell us? Why are they being cited here?,"\cite{b1,b4,b7}","\subsection{Persistent Recurrent State}
As opposed to an existing KV cache that expands in size as sequence length increases, the recurrent state of Gated DeltaNet consists of a fixed-size recurrent-state matrix \cite{b3}. The recurrent-state matrix stores the compressed information of previous tokens, functioning as a compact associative memory that addresses the standard LLM memory wall \cite{b1,b4,b7}. The recurrent-state is updated after every decode cycle.",14750,32,Comments!E32,Legacy-31,"What do these papers tell us? Why are they being cited here? [highlighted: ""\cite{b1,b4,b7}""]",Tie each citation to a specific serving or bandwidth result.,Background,NOT_RUN
30,6a33ffd2dc32bf2129205e28,0,jason.blocklove,"18 June, 7:25 am",This table isn't referenced anywhere? What does it relate to?,"\begin{table}[t]
\centering
\caption{Recurrent-state storage comparison by numeric format.}
\label{tab:memory_footprint}
\footnotesize
\renewcommand{\arraystretch}{1.0}
\setlength{\tabcolsep}{6pt}
\begin{tabularx}{\linewidth}{Xcc}
\toprule
Format & Bits per Element & Storage Relative to MXFP4 \\
\midrule
MXFP4 & 4 + block-scale metadata & 1x \\
INT8 & 8 & 2x \\
BF16 / FP16 & 16 & 4x \\
FP32 & 32 & 8x \\
\bottomrule
\end{tabularx}
\end{table}","\begin{table}[t]
\centering
\caption{Recurrent-state storage comparison by numeric format.}
\label{tab:memory_footprint}
\footnotesize
\renewcommand{\arraystretch}{1.0}
\setlength{\tabcolsep}{6pt}
\begin{tabularx}{\linewidth}{Xcc}
\toprule
Format & Bits per Element & Storage Relative to MXFP4 \\
\midrule
MXFP4 & 4 + block-scale metadata & 1x \\
INT8 & 8 & 2x \\
BF16 / FP16 & 16 & 4x \\
FP32 & 32 & 8x \\
\bottomrule
\end{tabularx}
\end{table}",14825,33,Comments!E33,Legacy-32,"This table isn't referenced anywhere? What does it relate to? [highlighted: ""\begin{table}[t]
\centering
\caption{Recurrent-state storage comparison by numeric format.}
\label{tab:memory_footprint}
\footnotesize
\renewcommand{\arraystretch}{1.0}
\setlength{\tabcolsep}{6pt}
\begin{tabularx}{\linewidth}{Xcc}
\toprule
Format & Bits per Element & Storage Relative to MXFP4 \\
\midrule
MXFP4 & 4 + block-scale metadata & 1x \\
INT8 & 8 & 2x \\
BF16 / FP16 & 16 & 4x \\
FP32 & 32 & 8x \\
\bottomrule
\end{tabularx}
\end{table}""]",Reference it in prose after regenerating it from valid evidence.,Architecture,NOT_RUN
31,6a33ffd2dc32bf2129205e28,1,jason.blocklove,"18 June, 7:26 am","Also, you can't throw ""block-scale metadata"" into this table without explaining the size overhead. You say it's a ""small overhead"" further down, but that needs to be addressed somewhere around the table itself, like in the caption",,,,34,Comments!E34,Legacy-33,"Also, you can't throw ""block-scale metadata"" into this table without explaining the size overhead. You say it's a ""small overhead"" further down, but that needs to be addressed somewhere around the table itself, like in the caption",State one E8M0 byte per B32 and resulting 4.25 bits/value.,Numerical Method,NOT_RUN
32,6a34002987496cf05d0b20d7,0,jason.blocklove,"18 June, 7:26 am","Again, at this point you're discussing what you guys did, why is this work being cited here?",\cite{b10},"The recurrent state $S_t$ is stored within partitions of on-chip FPGA memory banks \cite{b10}. With respect to the stored recurrent state $S_t$, it allows access to different parts of the state matrix in parallel. On-chip storage of the recurrent state results in reduced latency and energy consumption since each decode step will need to load the prior state; modify it; and save the modified version. However, accessing the full state matrix repeatedly off-chip and back to on-chip will become a resource-consumptive task, worsening the memory-bound limits of standard decode paths \cite{b7}.",15355,35,Comments!E35,Legacy-34,"Again, at this point you're discussing what you guys did, why is this work being cited here? [highlighted: ""\cite{b10}""]","Attribute persistent placement to prior work, then state modifications separately.",Architecture,NOT_RUN
33,6a340079537013d3d71a3524,0,jason.blocklove,"18 June, 7:28 am",These sentences are repetitive in a way that makes them hard to follow,"The recurrent state $S_t$ is stored within partitions of on-chip FPGA memory banks \cite{b10}. With respect to the stored recurrent state $S_t$, it allows access to different parts of the state matrix in parallel.","The recurrent state $S_t$ is stored within partitions of on-chip FPGA memory banks \cite{b10}. With respect to the stored recurrent state $S_t$, it allows access to different parts of the state matrix in parallel. On-chip storage of the recurrent state results in reduced latency and energy consumption since each decode step will need to load the prior state; modify it; and save the modified version. However, accessing the full state matrix repeatedly off-chip and back to on-chip will become a resource-consumptive task, worsening the memory-bound limits of standard decode paths \cite{b7}.",15272,36,Comments!E36,Legacy-35,"These sentences are repetitive in a way that makes them hard to follow [highlighted: ""The recurrent state $S_t$ is stored within partitions of on-chip FPGA memory banks \cite{b10}. With respect to the stored recurrent state $S_t$, it allows access to different parts of the state matrix in parallel.""]",Replace with one precise banking/layout description.,Architecture,NOT_RUN
34,6a3400db6572004fe08a91ed,0,jason.blocklove,"18 June, 7:29 am",Reference Table 1 or make a graph for this,"In comparison, BF16 requires 16 bits per element, while FP32 requires 32 bits per element. Consequently, MXFP4 reduces the storage requirements for recurrent-state elements by nearly 4 times compared with BF16 and 8 times compared with FP32, before accounting for the small overhead associated with block-scale metadata.","The recurrent state is the primary persistent storage entity in the Gated DeltaNet decode layer. By using MXFP4, the amount of storage required for each element is reduced to 4 bits per element plus a small amount of shared block-scale metadata. In comparison, BF16 requires 16 bits per element, while FP32 requires 32 bits per element. Consequently, MXFP4 reduces the storage requirements for recurrent-state elements by nearly 4 times compared with BF16 and 8 times compared with FP32, before accounting for the small overhead associated with block-scale metadata.",16114,37,Comments!E37,Legacy-36,"Reference Table 1 or make a graph for this [highlighted: ""In comparison, BF16 requires 16 bits per element, while FP32 requires 32 bits per element. Consequently, MXFP4 reduces the storage requirements for recurrent-state elements by nearly 4 times compared with BF16 and 8 times compared with FP32, before accounting for the small overhead associated with block-scale metadata.""]",Reference regenerated physical and logical storage results.,Architecture,NOT_RUN
35,6a34013034ed05fee4df6970,0,jason.blocklove,"18 June, 7:31 am","This is really good! You might want to consider putting this whole thing into a algorithm rather than a series of one-line equations, but either way I think it reads well and is quite clear","Every decode step uses the current key and value to update the recurrent-state. First, the prior state is multiplied by the key vector to create a prediction based on delta-rule dynamics \cite{b3}:
\begin{equation}
r_t = S_{t-1} k_t
\end{equation}

The prediction is what the prior state already holds for the upcoming key. The hardware performs a comparison between the prediction and the new value vector:
\begin{equation}
e_t = r_t - v_t
\end{equation}

The error ($e_t$) is created due to a difference between what was stored by the prior state and what information is presented by the new token. This error is scaled by the beta input and is used to update the state:
\begin{equation}
S_t = S_{t-1} - \beta_t e_t k_t^T
\end{equation}

This state update is a rank-one update. It changes the state by applying both the direction of the key and the error against the value.

Following the recurrent state update, the design utilizes the query vector and the recurrent state to produce the intermediate output vector:
\begin{equation}
o_t = S_t q_t","\subsection{Gated DeltaNet Update Path}
Every decode step uses the current key and value to update the recurrent-state. First, the prior state is multiplied by the key vector to create a prediction based on delta-rule dynamics \cite{b3}:
\begin{equation}
r_t = S_{t-1} k_t
\end{equation}",16476,38;82,Comments!E38,Legacy-37,"This is really good! You might want to consider putting this whole thing into a algorithm rather than a series of one-line equations, but either way I think it reads well and is quite clear [highlighted: ""Every decode step uses the current key and value to update the recurrent-state. First, the prior state is multiplied by the key vector to create a prediction based on delta-rule dynamics \cite{b3}:
\begin{equation}
r_t = S_{t-1} k_t
\end{equation}

The prediction is what the prior state already holds for the upcoming key. The hardware performs a comparison between the prediction and the new value vector:
\begin{equation}
e_t = r_t - v_t
\end{equation}

The error ($e_t$) is created due to a difference between what was stored by the prior state and what information is presented by the new token. This error is scaled by the beta input and is used to update the state:
\begin{equation}
S_t = S_{t-1} - \beta_t e_t k_t^T
\end{equation}

This state update is a rank-one update. It changes the state by applying both the direction of the key and the error against the value.

Following the recurrent state update, the design utilizes the query vector and the recurrent state to produce the intermediate output vector:
\begin{equation}
o_t = S_t q_t""]",Retain only after replacing them with the exact official alpha-decayed recurrence.,Method,NOT_RUN
36,6a3401ee537013d3d71a35d2,0,jason.blocklove,"18 June, 7:34 am",This table is also not referenced anywhere,"\begin{table}[t]
\centering
\caption{Arithmetic formats used in the proposed datapath.}
\label{tab:data_formats}
\footnotesize
\renewcommand{\arraystretch}{1.0}
\setlength{\tabcolsep}{6pt}
\begin{tabularx}{\linewidth}{llX}
\toprule
Tensor / Value & Format & Notes \\
\midrule
Weights & MXFP4 & Block size 32 \\
Activations & MXFP4 & Dynamic per token \\
Recurrent state & MXFP4 & Stored on chip \\
Beta & INT8 & Scaling parameter \\
Partial products & Q4.3 & From E2M1 multiply \\
Accumulator & INT24 & Block-aligned accumulation \\
Final output & FP16 & Output format \\
\bottomrule
\end{tabularx}
\end{table}","\begin{table}[t]
\centering
\caption{Arithmetic formats used in the proposed datapath.}
\label{tab:data_formats}
\footnotesize
\renewcommand{\arraystretch}{1.0}
\setlength{\tabcolsep}{6pt}
\begin{tabularx}{\linewidth}{llX}
\toprule
Tensor / Value & Format & Notes \\
\midrule
Weights & MXFP4 & Block size 32 \\
Activations & MXFP4 & Dynamic per token \\
Recurrent state & MXFP4 & Stored on chip \\
Beta & INT8 & Scaling parameter \\
Partial products & Q4.3 & From E2M1 multiply \\
Accumulator & INT24 & Block-aligned accumulation \\
Final output & FP16 & Output format \\
\bottomrule
\end{tabularx}
\end{table}",22086,39,Comments!E39,Legacy-38,"This table is also not referenced anywhere [highlighted: ""\begin{table}[t]
\centering
\caption{Arithmetic formats used in the proposed datapath.}
\label{tab:data_formats}
\footnotesize
\renewcommand{\arraystretch}{1.0}
\setlength{\tabcolsep}{6pt}
\begin{tabularx}{\linewidth}{llX}
\toprule
Tensor / Value & Format & Notes \\
\midrule
Weights & MXFP4 & Block size 32 \\
Activations & MXFP4 & Dynamic per token \\
Recurrent state & MXFP4 & Stored on chip \\
Beta & INT8 & Scaling parameter \\
Partial products & Q4.3 & From E2M1 multiply \\
Accumulator & INT24 & Block-aligned accumulation \\
Final output & FP16 & Output format \\
\bottomrule
\end{tabularx}
\end{table}""]",Reference a regenerated table tied to the numerical contract.,Numerical Method,NOT_RUN
37,6a34029534ed05fee4df6a1c,0,jason.blocklove,"18 June, 7:37 am",This could really benefit from a figure or two comparing the naive implementation with your design,\cite{b10}.,"Overall, our optimization reduces total-state-traversal work from approximately three full passes to less than two by collapsing these passes into a tighter, five-phase pipelined datapath design \cite{b10}.",20740,40,Comments!E40,Legacy-39,"This could really benefit from a figure or two comparing the naive implementation with your design [highlighted: ""\cite{b10}.""]",Attribute the five-stage baseline and use one diagram/table without repetition.,Architecture,NOT_RUN
38,6a34029534ed05fee4df6a1c,1,jason.blocklove,"18 June, 7:37 am","Or a set of algorithms comparing them, since they're both step-by-step processes",,,,41,Comments!E41,Legacy-39,"Or a set of algorithms comparing them, since they're both step-by-step processes",Attribute the five-stage baseline and use one diagram/table without repetition.,Architecture,NOT_RUN
39,6a34032fdc32bf2129205fb8,0,jason.blocklove,"18 June, 7:39 am",This requires more explanation, The evaluation of the quantization of the recurrent-state was performed via a synthetic software reference and remains part of the numerical fidelity boundary until realistic Qwen3-Next activation capture is available.,"The default hardware datapath operates with an MXFP4 block size of 32. The evaluation of the quantization of the recurrent-state was performed via a synthetic software reference and remains part of the numerical fidelity boundary until realistic Qwen3-Next activation capture is available. Maintaining the recurrent-state on chip is important since each token requires both access to its prior state, updating of that state, and generating the output vector.",21696,43,Comments!E43,Legacy-40,"This requires more explanation [highlighted: "" The evaluation of the quantization of the recurrent-state was performed via a synthetic software reference and remains part of the numerical fidelity boundary until realistic Qwen3-Next activation capture is available.""]",Distinguish synthetic diagnostics from closed-loop model quality.,Evaluation,NOT_RUN
40,6a3403836572004fe08a9332,0,jason.blocklove,"18 June, 7:41 am",Another thing where a figure could help aid visualization of your architecutre,"The multiply path consists of: sign XOR on the sign bits, exponent addition with bias adjustment, mantissa multiplication, normalization; the normalized result of the element multiply is then aligned based upon the shared block exponents, before being accumulated.","\subsection{FP4 Element Multiply}
The FP4 element multiply is implemented as a native E2M1 operation, rather than by converting operands into BF16 or FP32. The multiply path consists of: sign XOR on the sign bits, exponent addition with bias adjustment, mantissa multiplication, normalization; the normalized result of the element multiply is then aligned based upon the shared block exponents, before being accumulated.",22854,44,Comments!E44,Legacy-41,"Another thing where a figure could help aid visualization of your architecutre [highlighted: ""The multiply path consists of: sign XOR on the sign bits, exponent addition with bias adjustment, mantissa multiplication, normalization; the normalized result of the element multiply is then aligned based upon the shared block exponents, before being accumulated.""]","Describe encoded product, alignment, rounding, and saturation from the contract.",Numerical Method,NOT_RUN
41,6a340541537013d3d71a3780,0,jason.blocklove,"18 June, 7:48 am",This says more-or-less the same thing as the subsection above it,"LUT-based E2M1 multipliers are utilized in the FPGA LUT logic as they avoid conversion of operands from BF16 (or FP32) format and provide a direct path to E2M1 multiplications. Each E2M1 is split into three parts: Sign, Exponent, and Mantissa. An XOR operation is performed on the Sign field. A biased sum of Exponents is calculated. The Mantissas are multiplied together and then normalized. The resulting fixed point partial-product is prepared for accumulation. Additionally, this process minimizes the physical area of the inner Multiplier Block and eliminates the requirement for large floating-point DSP Blocks that would be necessary to process four-bit inputs.","\subsection{LUT-Based E2M1 Multiplication}
LUT-based E2M1 multipliers are utilized in the FPGA LUT logic as they avoid conversion of operands from BF16 (or FP32) format and provide a direct path to E2M1 multiplications. Each E2M1 is split into three parts: Sign, Exponent, and Mantissa. An XOR operation is performed on the Sign field. A biased sum of Exponents is calculated. The Mantissas are multiplied together and then normalized. The resulting fixed point partial-product is prepared for accumulation. Additionally, this process minimizes the physical area of the inner Multiplier Block and eliminates the requirement for large floating-point DSP Blocks that would be necessary to process four-bit inputs.",23631,45,Comments!E45,Legacy-42,"This says more-or-less the same thing as the subsection above it [highlighted: ""LUT-based E2M1 multipliers are utilized in the FPGA LUT logic as they avoid conversion of operands from BF16 (or FP32) format and provide a direct path to E2M1 multiplications. Each E2M1 is split into three parts: Sign, Exponent, and Mantissa. An XOR operation is performed on the Sign field. A biased sum of Exponents is calculated. The Mantissas are multiplied together and then normalized. The resulting fixed point partial-product is prepared for accumulation. Additionally, this process minimizes the physical area of the inner Multiplier Block and eliminates the requirement for large floating-point DSP Blocks that would be necessary to process four-bit inputs.""]",Merge into one arithmetic subsection.,Numerical Method,NOT_RUN
42,6a34059134ed05fee4df6b80,0,jason.blocklove,"18 June, 7:49 am","This doesn't need to be a subsection, it can be fit earlier in your architecture discussion","Three design parameters determine the behavior of the overall design architecture: Block Size ($B$), Key Parallelism ($P_K$) and Value Parallelism ($P_V$).","\subsection{Design Parameters}
Three design parameters determine the behavior of the overall design architecture: Block Size ($B$), Key Parallelism ($P_K$) and Value Parallelism ($P_V$).",24944,46,Comments!E46,Legacy-43,"This doesn't need to be a subsection, it can be fit earlier in your architecture discussion [highlighted: ""Three design parameters determine the behavior of the overall design architecture: Block Size ($B$), Key Parallelism ($P_K$) and Value Parallelism ($P_V$).""]","Fold B, P_K, and P_V into architecture/evaluation setup.",Architecture,NOT_RUN
43,6a3405b56572004fe08a944f,0,jason.blocklove,"18 June, 7:50 am","Pick AMD, Xilinx, or AMD Xilinx and stick with it everywhere you refer to this",AMD Alveo U55C,"\subsection{Experimental Setup}
The proposed accelerator is evaluated as a simulation-only FPGA design targeting the AMD Alveo U55C platform. The target device is the Xilinx \texttt{xcu55c-fsvh2892-2L-e}, and the design is synthesized using Vitis HLS with a target clock period of 4 ns, corresponding to 250 MHz. Post-synthesis and post-implementation reports are generated through the Xilinx FPGA tool flow to estimate timing, resource utilization, and power.",25254,47,Comments!E47,Legacy-44,"Pick AMD, Xilinx, or AMD Xilinx and stick with it everywhere you refer to this [highlighted: ""AMD Alveo U55C""]",Use a single historically and technically accurate device/tool naming convention.,All,NOT_RUN
44,6a3406c3dc32bf2129206182,0,jason.blocklove,"18 June, 7:54 am",Since you wrote this with HLS you need to address any sort of HLS-specific design choices you made. Did you have to/choose to use any pragmas to impact the synthesis results?,Vitis HLS,"\subsection{Experimental Setup}
The proposed accelerator is evaluated as a simulation-only FPGA design targeting the AMD Alveo U55C platform. The target device is the Xilinx \texttt{xcu55c-fsvh2892-2L-e}, and the design is synthesized using Vitis HLS with a target clock period of 4 ns, corresponding to 250 MHz. Post-synthesis and post-implementation reports are generated through the Xilinx FPGA tool flow to estimate timing, resource utilization, and power.",25378,48;83,Comments!E48,Legacy-45,"Since you wrote this with HLS you need to address any sort of HLS-specific design choices you made. Did you have to/choose to use any pragmas to impact the synthesis results? [highlighted: ""Vitis HLS""]",Report actual directives and their verified effect after correction.,Implementation,NOT_RUN
45,6a34070b87496cf05d0b2470,0,jason.blocklove,"18 June, 7:56 am",This is redundant to your hardware architecture section,"In order to optimize the FPGA datapath for four-bit floating-point arithmetic, the FP4 element multiply is implemented using LUT-based E2M1 logic rather than DSP-based floating-point multiplication.","In order to optimize the FPGA datapath for four-bit floating-point arithmetic, the FP4 element multiply is implemented using LUT-based E2M1 logic rather than DSP-based floating-point multiplication. The multiplier performs sign XOR, exponent addition with bias adjustment, mantissa multiplication, normalization, and subnormal handling before producing a Q4.3 fixed-point partial product. Block-exponent alignment then shifts and accumulates these partial products using the shared MXFP4 block scales.",27742,49,Comments!E49,Legacy-42,"This is redundant to your hardware architecture section [highlighted: ""In order to optimize the FPGA datapath for four-bit floating-point arithmetic, the FP4 element multiply is implemented using LUT-based E2M1 logic rather than DSP-based floating-point multiplication.""]",Merge into one arithmetic subsection.,Numerical Method,NOT_RUN
46,6a340744dc32bf21292061c0,0,jason.blocklove,"18 June, 7:57 am",This would actually probably be the right place to address your HLS design choices and pragama selection,"HLS C synthesis estimates latency, initiation interval, and initial resource mapping. The synthesis reports are analyzed to confirm that the native E2M1 multiply primitive maps to LUT logic rather than DSP blocks.","\subsection{Simulation and Synthesis Flow}
The evaluation uses a hierarchical verification flow based on the Xilinx Vitis HLS toolchain. First, HLS C simulation verifies functional correctness against the quantized MXFP4 software reference. Second, HLS C synthesis estimates latency, initiation interval, and initial resource mapping. The synthesis reports are analyzed to confirm that the native E2M1 multiply primitive maps to LUT logic rather than DSP blocks.",28494,50;84,Comments!E50,Legacy-46,"This would actually probably be the right place to address your HLS design choices and pragama selection [highlighted: ""HLS C synthesis estimates latency, initiation interval, and initial resource mapping. The synthesis reports are analyzed to confirm that the native E2M1 multiply primitive maps to LUT logic rather than DSP blocks.""]",Put implementation directives in the implementation/evaluation flow.,Implementation,NOT_RUN
47,6a3407b9537013d3d71a38a7,0,jason.blocklove,"18 June, 7:59 am","Did you guys do anything to estimate dynamic power consumption during runtime, or just use the total value that Vivado reports?",total power consumption,"Third, RTL cosimulation verifies the generated RTL behavior over multiple autoregressive decode steps, confirming that the persistent recurrent state updates in place without requiring repeated off-chip recurrent-state traffic. Finally, post-implementation Vivado reports provide the authoritative estimates for timing closure, total power consumption, and resource utilization. The final utilization metrics report LUTs, BRAM, URAM where applicable, and DSP usage.",29037,51;85,Comments!E51,Legacy-47,"Did you guys do anything to estimate dynamic power consumption during runtime, or just use the total value that Vivado reports? [highlighted: ""total power consumption""]",Separate Vivado estimate from integrated board energy and report static/dynamic breakdown.,Evaluation,NOT_RUN
48,6a340841537013d3d71a38cf,0,jason.blocklove,"18 June, 8:01 am",Since this is simulation-only is there a reason you didn't try multiple parts and compare them?,simulation-only FPGA design targeting the AMD Alveo U55C,"\subsection{Experimental Setup}
The proposed accelerator is evaluated as a simulation-only FPGA design targeting the AMD Alveo U55C platform. The target device is the Xilinx \texttt{xcu55c-fsvh2892-2L-e}, and the design is synthesized using Vitis HLS with a target clock period of 4 ns, corresponding to 250 MHz. Post-synthesis and post-implementation reports are generated through the Xilinx FPGA tool flow to estimate timing, resource utilization, and power.",25212,52,Comments!E52,Legacy-48,"Since this is simulation-only is there a reason you didn't try multiple parts and compare them? [highlighted: ""simulation-only FPGA design targeting the AMD Alveo U55C""]",State why U55C is the target and scope portability as untested.,Evaluation/Limitations,NOT_RUN
49,6a3408d6537013d3d71a3904,0,jason.blocklove,"18 June, 8:03 am",Is there a reason you're not open-sourcing your code and data? I *highly* recommend doing so,\subsection{Provenance and Reproducibility},"\subsection{Provenance and Reproducibility}
To ensure scientific rigor and reduce transcription errors, reported performance metrics are extracted automatically from generated toolchain reports rather than entered manually. Latency values are extracted from HLS and RTL cosimulation logs, while resource utilization and power estimates are parsed directly from Vivado post-implementation reports.",31352,53,Comments!E53,Legacy-49,"Is there a reason you're not open-sourcing your code and data? I *highly* recommend doing so [highlighted: ""\subsection{Provenance and Reproducibility}""]",Obtain an author decision consistent with anonymity and venue policy.,Reproducibility,BLOCKED_EXTERNAL
50,6a340d9a6572004fe08a97e9,0,jason.blocklove,"18 June, 8:24 am",Table isn't referenced,"\begin{table}[h]
\centering
\caption{Latency comparison for batch-one Gated DeltaNet decode.}
\label{tab:latency_results}
\footnotesize
\renewcommand{\arraystretch}{1.0}
\setlength{\tabcolsep}{6pt}
\begin{tabularx}{\linewidth}{Xcc}
\toprule
Design & Latency ($\mu$s/token) & Speedup vs. H100 \\
\midrule
H100 baseline & 285.0 & 1.00$\times$ \\
FPGA baseline & 63.2 & 4.51$\times$ \\
Ours MXFP4 & 51.472 & 5.54$\times$ \\
\bottomrule
\end{tabularx}
\end{table}

\begin{table}[h]
\centering
\caption{Energy per token comparison for the cited baselines and the proposed MXFP4 design.}
\label{tab:energy_results}
\footnotesize
\renewcommand{\arraystretch}{1.0}
\setlength{\tabcolsep}{6pt}
\begin{tabularx}{\linewidth}{Xcc}
\toprule
Design & Energy (mJ/token) & Efficiency vs. H100 \\
\midrule
H100 baseline & 99.8 & 1.00$\times$ \\
FPGA baseline & 9.5 & 10.51$\times$ \\
Ours MXFP4 & 0.462 & 216.01$\times$ \\","\begin{table}[h]
\centering
\caption{Latency comparison for batch-one Gated DeltaNet decode.}
\label{tab:latency_results}
\footnotesize
\renewcommand{\arraystretch}{1.0}
\setlength{\tabcolsep}{6pt}
\begin{tabularx}{\linewidth}{Xcc}
\toprule
Design & Latency ($\mu$s/token) & Speedup vs. H100 \\
\midrule
H100 baseline & 285.0 & 1.00$\times$ \\
FPGA baseline & 63.2 & 4.51$\times$ \\
Ours MXFP4 & 51.472 & 5.54$\times$ \\
\bottomrule
\end{tabularx}
\end{table}",33633,54,Comments!E54,Legacy-50,"Table isn't referenced [highlighted: ""\begin{table}[h]
\centering
\caption{Latency comparison for batch-one Gated DeltaNet decode.}
\label{tab:latency_results}
\footnotesize
\renewcommand{\arraystretch}{1.0}
\setlength{\tabcolsep}{6pt}
\begin{tabularx}{\linewidth}{Xcc}
\toprule
Design & Latency ($\mu$s/token) & Speedup vs. H100 \\
\midrule
H100 baseline & 285.0 & 1.00$\times$ \\
FPGA baseline & 63.2 & 4.51$\times$ \\
Ours MXFP4 & 51.472 & 5.54$\times$ \\
\bottomrule
\end{tabularx}
\end{table}

\begin{table}[h]
\centering
\caption{Energy per token comparison for the cited baselines and the proposed MXFP4 design.}
\label{tab:energy_results}
\footnotesize
\renewcommand{\arraystretch}{1.0}
\setlength{\tabcolsep}{6pt}
\begin{tabularx}{\linewidth}{Xcc}
\toprule
Design & Energy (mJ/token) & Efficiency vs. H100 \\
\midrule
H100 baseline & 99.8 & 1.00$\times$ \\
FPGA baseline & 9.5 & 10.51$\times$ \\
Ours MXFP4 & 0.462 & 216.01$\times$ \\""]",Reference only a corrected matched-boundary latency table.,Results,NOT_RUN
